IND_IS_INVERTED	69974
SEQ_WIN_NER_L_1_R_1_%|%O%|%O	66826
SEQ_INV_WIN_NER_L_1_R_1_%|%O%|%O	61495
IND_STARTS_WITH_CAPITAL_%|%True%|%True	54425
IND_INV_STARTS_WITH_CAPITAL_%|%True%|%True	51576
SEQ_WIN_NER_L_2_R_1_%|%O@|@O%|%O	48771
SEQ_INV_WIN_NER_L_2_R_1_%|%O@|@O%|%O	45029
SEQ_NGRAM_1_%|%~!,	44917
SEQ_WIN_NER_L_1_R_2_%|%O%|%O@|@O	43862
SEQ_INV_WIN_NER_L_1_R_2_%|%O%|%O@|@O	40579
SEQ_WIN_NER_L_3_R_1_%|%O@|@O@|@O%|%O	39823
SEQ_INV_NGRAM_1_%|%~!,	38068
SEQ_INV_WIN_NER_L_3_R_1_%|%O@|@O@|@O%|%O	36637
SEQ_WIN_NER_L_1_R_3_%|%O%|%O@|@O@|@O	34110
SEQ_WIN_NER_L_2_R_2_%|%O@|@O%|%O@|@O	33891
SEQ_INV_WIN_NER_L_1_R_3_%|%O%|%O@|@O@|@O	32247
SEQ_INV_WIN_NER_L_2_R_2_%|%O@|@O%|%O@|@O	31314
SEQ_NGRAM_1_%|%~!the	30367
SEQ_WIN_NER_L_3_R_2_%|%O@|@O@|@O%|%O@|@O	28128
SEQ_WIN_NER_L_2_R_3_%|%O@|@O%|%O@|@O@|@O	26540
IND_STARTS_WITH_CAPITAL_%|%True%|%False	26537
SEQ_INV_WIN_NER_L_3_R_2_%|%O@|@O@|@O%|%O@|@O	25864
SEQ_INV_WIN_NER_L_2_R_3_%|%O@|@O%|%O@|@O@|@O	24958
SEQ_INV_NGRAM_1_%|%~!the	24422
SEQ_NGRAM_1_%|%~!and	23531
SEQ_WIN_NER_L_3_R_3_%|%O@|@O@|@O%|%O@|@O@|@O	22518
SEQ_INV_WIN_NER_L_3_R_3_%|%O@|@O@|@O%|%O@|@O@|@O	20848
SEQ_INV_NGRAM_1_%|%~!and	20238
SEQ_NGRAM_1_%|%~!a	20038
SEQ_NGRAM_1_%|%~!be	19484
SEQ_NGRAM_1_%|%~!in	19341
